Strain,StrainOriginal,H2O2Concentration,DiameterOuter,DiameterInner,VolumeOnPlate (uL),OD600nm,Date,Note,SGD
M5,M5star,0.3,2.6,0.7,5,1.83,2/15/11,Diameter in cm,
M5,M5star,0.15,2.1,0.5,5,1.83,2/15/11,volume in ul,
M32,M32star,0.3,1.7,0.5,5,1.897,2/15/11,H2O2 is 30% 15%,
M32,M32star,0.15,1.8,0.6,5,1.897,2/15/11,,
YPS163,YPS163star,0.3,2.9,1,5,1.888,2/15/11,,
YPS163,YPS163star,0.15,2.8,1,5,1.888,2/15/11,tolerant,YPS163
M1-2,M1-2star,0.3,2.6,0.6,5,1.826,2/15/11,,
M1-2,M1-2star,0.15,2,0.5,5,1.826,2/15/11,,
M2-8,M2-8star,0.3,2.7,0.7,5,1.773,2/15/11,,
M2-8,M2-8star,0.15,2,0.5,5,1.773,2/15/11,,
M22,M22star,0.3,4.5,NA,5,1.462,2/15/11,sensitive,M22
M22,M22star,0.15,3.5,NA,5,1.462,2/15/11,,
M8,M8star,0.3,2.6,0.8,5,1.809,2/15/11,,
M8,M8star,0.15,2.5,1,5,1.809,2/15/11,,
YPS128,YPS128star,0.3,2.5,1,5,1.885,2/15/11,,
YPS128,YPS128star,0.15,2.3,1,5,1.885,2/15/11,,
101S,101s,0.3,3,0.9,5,1.811,2/15/11,,
101S,101s,0.15,3,0.8,5,1.811,2/15/11,,
M13,M13star,0.3,2.7,1.2,5,1.826,2/15/11,,
M13,M13star,0.15,2.5,1.9,5,1.826,2/15/11,,
M34,M34star,0.3,2.7,0.9,5,1.773,2/15/11,,
M34,M34star,0.15,2.2,0.5,5,1.773,2/15/11,,
M14,M14star,0.3,4.1,NA,5,1.574,2/15/11,,
M14,M14star,0.15,3,NA,5,1.574,2/15/11,,
BY4743,BY4743,0.3,3.2,NA,NA,NA,NA,"20140402, tolerant","by4741,4742"
BY4743,BY4743,0.15,2.5,NA,NA,NA,NA,20140402,
